icao24,origin_country,velocity,on_ground
020118,Morocco,178.84,False
4079d3,United Kingdom,239.26,False
020110,Morocco,231.17,False
a6d00b,United States,137.52,False
a0c075,United States,280.4,False
8962e6,United Arab Emirates,224.62,False
45dacf,Denmark,224.9,False
4bb27a,Turkey,236.85,False
3464d9,Spain,56.92,False
738284,Israel,0.0,False
738289,Israel,214.28,False
4bb296,Turkey,214.19,False
738288,Israel,209.54,False
738286,Israel,242.02,False
4bb292,Turkey,215.12,False
4bb28d,Turkey,141.54,False
4bb28b,Turkey,210.64,False
387d5c,France,39.45,False
44cdcf,Belgium,224.21,False
44cdce,Belgium,3.09,True
44cdcd,Belgium,222.78,False
a4c98f,United States,128.33,False
44cdcb,Belgium,216.89,False
4bb275,Turkey,240.02,False
4bb276,Turkey,141.73,False
c025d2,Canada,206.53,False
4bb272,Turkey,250.41,False
4bb270,Turkey,189.7,False
4bb26e,Turkey,231.68,False
4bb279,Turkey,210.95,False
3c5b32,Germany,268.37,False
4bb289,Turkey,0.0,True
4066d0,United Kingdom,243.73,False
4bb286,Turkey,206.37,False
781d01,China,31.32,False
4bb285,Turkey,208.78,False
4bb281,Turkey,216.77,False
896409,United Arab Emirates,78.26,False
84613e,Japan,80.5,False
4b0d1e,Switzerland,49.4,False
44cdc9,Belgium,256.45,False
44cdc8,Belgium,219.74,False
44cdd1,Belgium,128.77,False
44cdd0,Belgium,191.93,False
adde95,United States,270.75,False
399d93,France,54.77,False
a095ee,United States,27.34,False
406792,United Kingdom,72.63,False
020140,Morocco,217.99,False
c0003e,Canada,200.63,False
506ca0,Slovenia,275.13,False
345292,Spain,79.74,False
020124,Morocco,215.06,False
020123,Morocco,147.59,False
4bb1a4,Turkey,256.62,False
4bb1a5,Turkey,263.66,False
345287,Spain,62.05,False
8a0849,Indonesia,70.71,False
a25b4d,United States,232.47,False
a81045,United States,12.35,True
84c43e,Japan,243.32,False
506cb1,Slovenia,21.09,True
a8dffc,United States,240.3,False
345385,Spain,205.04,False
3dddaf,Germany,43.71,False
8005f2,India,229.51,False
345388,Spain,8.75,True
780a62,China,277.83,False
acbe3e,United States,267.75,False
8005ee,India,224.39,False
780a5a,China,0.51,True
8a07a2,Indonesia,61.06,False
344043,Spain,0.0,False
4b0c84,Switzerland,55.15,False
780a5c,China,269.87,False
781d8d,China,204.76,False
780a70,China,275.02,False
4b1f9d,Switzerland,83.47,False
781d9d,China,238.65,False
780a6a,China,211.79,False
320063,Italy,54.77,False
346691,Spain,202.93,False
346692,Spain,249.88,False
46b2b8,Greece,94.62,False
780a81,China,218.99,False
e48fcf,Brazil,154.43,False
896354,United Arab Emirates,144.8,False
7cfa14,Australia,64.46,False
3dddd3,Germany,37.11,False
345359,Spain,219.42,False
345353,Spain,141.26,False
780a96,China,250.35,False
780a93,China,137.95,False
3d8df7,Germany,0.0,True
780a99,China,248.12,False
780a8d,China,243.55,False
320067,Italy,70.6,False
739603,Israel,0.0,True
4bb0f9,Turkey,258.22,False
884342,Thailand,82.64,False
44ce79,Belgium,0.0,True
345344,Spain,65.82,False
405457,United Kingdom,84.04,False
44ce78,Belgium,219.01,False
320040,Italy,135.88,False
44ce77,Belgium,250.37,False
4bb0f5,Turkey,231.15,False
44ce75,Belgium,5.4,True
44ce6c,Belgium,229.04,False
44ce6a,Belgium,237.61,False
32002c,Italy,77.74,False
4bb0ec,Turkey,79.6,False
44ce6e,Belgium,256.1,False
c07fb4,Canada,264.48,False
02019d,Morocco,172.02,False
02019c,Morocco,239.8,False
704946,Myanmar,253.98,False
0083af,South Africa,48.04,False
34530d,Spain,72.96,False
841e00,Japan,221.06,False
346648,Spain,158.48,False
346644,Spain,214.26,False
345314,Spain,250.92,False
406753,United Kingdom,8.75,True
406752,United Kingdom,230.38,False
4bb0e6,Turkey,249.7,False
4bb0e4,Turkey,257.9,False
44ce66,Belgium,0.0,True
406754,United Kingdom,178.24,False
4bb0e2,Turkey,266.28,False
896315,United Arab Emirates,248.6,False
896317,United Arab Emirates,198.08,False
e80604,Chile,212.04,False
89630d,United Arab Emirates,236.76,False
89630b,United Arab Emirates,212.46,False
89630f,United Arab Emirates,77.11,False
0200fb,Morocco,219.6,False
781d13,China,180.9,False
0200ef,Morocco,237.71,False
0200f8,Morocco,241.36,False
34660e,Spain,230.0,False
34660b,Spain,154.58,False
a5d713,United States,244.75,False
346614,Spain,200.61,False
346611,Spain,72.43,False
346612,Spain,201.98,False
4ab821,Sweden,233.78,False
a3472f,United States,0.0,True
4ab824,Sweden,236.39,False
4ab825,Sweden,230.16,False
a75da2,United States,275.66,False
781d39,China,197.14,False
